Id,Nombre,Abreviatura,Codigo,Nacionalidad,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
157,TRINIDAD TOBAGO,TTO,9720,Trinitense,SA,2025-04-28T16:29:47.3200000,,,,
158,TONGA,TON,9722,Tongano/a,SA,2025-04-28T16:29:47.3200000,,,,
159,TUNEZ,TUN,9723,Tunecino/a,SA,2025-04-28T16:29:47.3200000,,,,
160,TRANSKEI,ZAF,9725,Transkeiano/a,SA,2025-04-28T16:29:47.3200000,,,,
161,TURQUIA,TUR,9726,Turco/a,SA,2025-04-28T16:29:47.3200000,,,,
162,TUVALU,TUV,9727,Tuvaluano/a,SA,2025-04-28T16:29:47.3200000,,,,
163,UGANDA,UGA,9729,Ugandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
164,U R S S,URS,9732,Soviético/a,SA,2025-04-28T16:29:47.3200000,,,,
165,URUGUAY,URY,9735,Uruguayo/a,SA,2025-04-28T16:29:47.3200000,,,,
166,VATICANO,VAT,9738,Vaticano/a,SA,2025-04-28T16:29:47.3200000,,,,
167,VANUATU,VUT,9739,Vanuatense,SA,2025-04-28T16:29:47.3200000,,,,
168,VENDA,VND,9740,Vendano/a,SA,2025-04-28T16:29:47.3200000,,,,
169,VENEZUELA,VEN,9741,Venezolano/a,SA,2025-04-28T16:29:47.3200000,,,,
170,VIETNAM NORTE,VNM,9744,Vietnamita,SA,2025-04-28T16:29:47.3200000,,,,
171,VIETNAM SUR,VNM,9747,Vietnamita,SA,2025-04-28T16:29:47.3200000,,,,
172,YEMEN SUR REP,YEM,9750,Yemení,SA,2025-04-28T16:29:47.3200000,,,,
173,YUGOSLAVIA,YUG,9756,Yugoslavo/a,SA,2025-04-28T16:29:47.3200000,,,,
174,ZAIRE,ZAR,9758,Zaireño/a,SA,2025-04-28T16:29:47.3200000,,,,
175,ZAMBIA,ZMB,9759,Zambiano/a,SA,2025-04-28T16:29:47.3200000,,,,
176,ZIMBABWE,ZWE,9760,Zimbabuense,SA,2025-04-28T16:29:47.3200000,,,,
177,PUERTO RICO,PRI,9850,Puertorriqueño/a,SA,2025-04-28T16:29:47.3200000,,,,
178,BAHAMAS,BHS,9862,Bahameño/a,SA,2025-04-28T16:29:47.3200000,,,,
179,BERMUDAS,BMU,9863,Bermudeño/a,SA,2025-04-28T16:29:47.3200000,,,,
180,MARTINICA,MTQ,9865,Martiniqués/esa,SA,2025-04-28T16:29:47.3200000,,,,
181,NUEVA GUINEA,PNG,9886,Neoguineano/a,SA,2025-04-28T16:29:47.3200000,,,,
182,ANT HOLANDESAS,ANT,9898,Antillano/a,SA,2025-04-28T16:29:47.3200000,,,,
183,TAIWAN,TWN,9899,Taiwanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
184,ISLAS VIRGENES BRITANICAS,VGB,9897,Británico/a,SA,2025-04-28T16:29:47.3200000,,,,
